ADX5JM3PRIFEI,FANTASTIC,91.76,1004,99.7%,996,97.99%,96%,0,93.07%,DNR_DPMO
AJGKH17AAN8DW,GREAT,71.07,964,97.28%,0,99.41%,93.33%,0,93.58%,DCR
ARI0X3K0YGQ13,FAIR,54.27,1205,99.01%,5809,98%,96%,2,93.72%,DNR_DPMO
A11F6KHWYY1HE1,FANTASTIC,86.06,1139,98.36%,1756,98.7%,100%,0,87.94%,DCR
A11Y8T5YWREGW8,FAIR,61.02,789,97.53%,-,98.58%,71.43%,0,96.25%,DCR
A146KENCP5W18E,FAIR,67.53,1053,97.95%,1899,99.12%,100%,0,95.47%,DCR
A14HF0HRV36E01,FAIR,61.16,1012,99.7%,3953,90.48%,-,0,93.73%,DNR_DPMO
A14NTWZ1XL1VKS,FANTASTIC,91.1,1621,98.24%,1234,100%,-,0,100%,DCR
A1BS304DZQRYB5,POOR,47.4,914,96.92%,1094,93.41%,0%,0,91.99%,DCR
A1DCQONOTMAHH5,FAIR,62.26,781,94.9%,-,93.97%,100%,0,97.02%,DCR
A1IY1B7G0KD784,GREAT,74.25,664,95.95%,-,100%,100%,0,90.69%,DCR
A1JGF0YM7EJ40D,GREAT,70.09,1130,99.04%,885,96.04%,70%,0,95%,CC
A1MX35LYX13W3Y,FAIR,62.04,547,93.19%,-,100%,0%,0,94.24%,DCR
A1QVPAB8D9KWG4,FANTASTIC,91.56,900,98.68%,-,97.83%,99.66%,0,96.4%,DCR
A1YGLT6OAJGBWC,GREAT,73.11,257,96.25%,-,98.57%,-,0,91.29%,DCR
A20Y2GR3MV0GA7,FAIR,58.46,1300,97.23%,1538,100%,0%,0,98.02%,DCR
A22C3DQDFEZVW3,GREAT,81.92,1325,99.1%,755,98.8%,85.71%,0,90.9%,DCR
A24E772MMHA8T2,FAIR,62,510,94.62%,-,92.74%,100%,0,93.75%,DCR
A29VTFC3WOZQI8,FANTASTIC,92.43,758,98.83%,-,98.11%,100%,0,88.56%,DCR
